DTYYYYMMDD,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,OPENINT,OPENINT
20090419,8306.2,8348,8306.2,8348,71853075,1.21E+11,13655,8290.4
20090420,8351.3,8431.2,8351.3,8431.2,99531564,1.69E+11,17686,8348
20090421,8434.2,8436.3,8434.2,8434.9,16217968,28674660317,3635,8431.2
20090422,8457.6,8485.4,8457.6,8476.4,81308188,1.32E+11,18476,8434.9
20090425,8490.3,8497.9,8468.4,8469.1,62495536,99574222323,12085,8476.4
20090426,8470.1,8523.2,8470.1,8502.6,62867611,1.78E+11,15365,8469.1
20090427,8503,8521,8503,8518.1,54260348,1.18E+11,10034,8502.6
20090428,8533.5,8533.7,8526.8,8527.8,121128789,1.89E+11,17883,8518.1
20090429,8546.9,8546.9,8533.3,8535,40967613,1.09E+11,8556,8527.8
20090502,8546.3,8551.6,8517.2,8548.3,48290510,84114742214,10049,8535
20090503,8557,8595.2,8557,8584.6,56880538,1.04E+11,11594,8548.3
20090504,8624.9,8638.8,8624,8638.3,58462401,1.07E+11,11923,8584.6
20090505,8692.9,8702.5,8692.9,8699.5,76206622,1.94E+11,13534,8638.3
20090506,8743.1,8774.2,8743.1,8774.2,48955870,1.31E+11,9669,8699.5
20090509,8830.2,8872.4,8830.2,8872.4,45697465,1.11E+11,9463,8774.2
20090510,8878,8930.4,8878,8930.4,59449003,1.63E+11,10225,8872.4
20090511,8982.6,8989.9,8975.3,8989.5,211609077,3.89E+11,22842,8930.4
20090512,8988.5,8995.9,8965.7,8968.3,128913971,2.61E+11,16213,8989.5
20090513,8938,8938,8924.5,8932.1,90427284,1.63E+11,13390,8968.3
20090516,8922.7,8923.4,8882.9,8888,77885285,1.55E+11,10597,8932.1
20090517,8896.1,8933.2,8858.4,8919.4,80567706,1.59E+11,10802,8888
20090518,8930.2,8966.9,8930.2,8963.8,58056462,1.21E+11,9402,8919.4
20090519,8969.1,8978.2,8956.3,8956.3,220321066,3.60E+11,15618,8963.8
20090520,8968.2,9006,8968.2,9000.8,140575850,2.27E+11,11814,8956.3
20090523,9000.9,9042.8,9000.9,9042.1,50508722,78821042506,8189,9000.8
20090524,9050.7,9051.7,9016.3,9019.5,195181149,2.88E+11,15015,9042.1
20090525,9017.2,9017.2,8971.1,8971.1,100958459,1.64E+11,10577,9019.5
20090526,8967.2,8967.2,8934.6,8934.6,110291336,1.79E+11,10360,8971.1
20090527,8937,8953.7,8937,8953.7,43891861,1.13E+11,7264,8934.6
20090530,8956.9,9001.9,8956.9,9001.3,61796820,1.09E+11,9701,8953.7
20090531,9002.5,9013,8998.2,9000.6,78904182,1.37E+11,10345,9001.3
20090601,9007.7,9013.2,9000.8,9006.3,89171028,1.61E+11,9913,9000.6
20090602,9011.9,9032.6,9010.4,9032.3,63475940,1.08E+11,10531,9006.3
20090603,9048.8,9082.4,9048.6,9081.7,69872316,1.23E+11,9307,9032.3
20090606,9104,9123,9104,9121.3,105222195,1.99E+11,11913,9081.7
20090607,9146.1,9195.2,9143.9,9195.1,130893227,2.59E+11,12754,9121.3
20090608,9199.2,9236.6,9199.2,9235.5,74538651,1.61E+11,9000,9195.1
20090609,9240,9280.1,9240,9278.5,51482053,92371535168,9496,9235.5
20090610,9299.7,9343.3,9299.7,9343.3,109826144,1.53E+11,12131,9278.5
20090613,9366.9,9384.7,9365.4,9365.4,213973005,3.14E+11,19435,9343.3
20090614,9370.8,9370.8,9310.3,9310.3,129127083,2.10E+11,12130,9365.4
